Model,Fan Qty,Fan Amps,Heater Qty,Heater 1,Heater 2,Heater 3
HI 3012,1,0.32A,1,3.5A,NA,NA
HI 3013,1,0.32A,1,3.5A,NA,NA
HI 3014,1,0.32A,1,4.5A,NA,NA
HI 3022,2,0.64A,1,6.5A,NA,NA
HI 3023,2,0.64A,1,6.5A,NA,NA
HI 3024,2,0.64A,1,9A,NA,NA
HI 3033,3,0.96A,1,10A,NA,NA
HI 3034,3,0.96A,1,13A,NA,NA
HI 3043,4,1.28A,1,13A,NA,NA
HI 3044,4,1.28A,1,17.5A,NA,NA
HI 3053,5,1.6A,1,16A,NA,NA
HI 3054,5,1.6A,1,22A,NA,NA
HI 4013,1,1.15A,2,3.5A,3.5A,NA
HI 4014,1,1.15A,2,4.5A,4.5A,NA
HI 4023,2,2.3A,2,6.5A,6.5A,NA
HI 4024,2,2.3A,2,8.5A,8.5A,NA
HI 4033,3,3.45A,2,10A,10A,NA
HI 4034,3,3.45A,2,13A,13A,NA
HI 4044,4,4.6A,2,17A,17A,NA
