Group,Description,Comments

StockItem,Quantity,MiscDescription
140250,1,Reducers 5/8 - 3/8 (15mm-9mm)
140251,2,Reducers 5/8 - 1/2 (15mm-12mm)
140397,3,Elbows 90 LR 1-1/8 (28mm)
140716,3,P-Traps 1-1/8 (28mm)
142858,3,Solenoid Valve SW 5/8 (15mm) No Plug
231245,3,"Drier SW 5/8"""
142052,3,Armaflex 1-1/8 x 3/4 28mm x 19mm)
144214,36,Nuts Dome Chrome Plated M8
142902,36,Blower Coil Mounting Plates
140251,2,Reducers 5/8 - 1/2 (15mm-12mm)
146024,1,Expansion Valve TES2 R404 - Ext Equalized - 06823415
232872,2,Expansion Valve TES 5 R404a
232357,1,Orifice TES2 NO.2
232875,2,Orifice TES 5 NO.2
142861,3,Solenoid Coil only 230V
142863,3,Solenoid Plug only
142807,3,Gland Compression NO.0 PVC
142527,3,Solder Flare Adapter
140143,1,Cable Ties (100/pack) T30R Black 150 L x 3.5 W
143985,1,Contact Adhesive (12/box bulk) 250ml
